source_service,target_service,interaction_count,out_degree_total,prob_transition
UserCompanyDeveloper,DevTools,5,182,0.0275
UserConsumerWeb,Pinpoint,5,388,0.0129
OnPremDC,S3,5,26,0.1923
Macie,S3,5,5,1.0
ECR,CloudFormation,5,66,0.0758
Kinesis,UserConsumerTV,5,248,0.0202
UserCompanyAnalyst,ECR,5,116,0.0431
CloudFront,ThirdParty,5,291,0.0172
UserConsumerWebMobile,ELB,5,57,0.0877
ACM,ServiceCatalog,5,5,1.0
CloudWatch,UserCompanyDeveloper,5,202,0.0248
KinesisDataStream,Neptune,5,37,0.1351
VPN,S3,5,26,0.1923
Fargate,UserConsumerMobile,5,184,0.0272
CloudTrail,IAM,5,45,0.1111
ThirdParty,CloudFormation,5,862,0.0058
AppSync,UserConsumerMobile,5,73,0.0685
EC2,UserCompanyAPI,5,1266,0.0039
UserConsumerAPI,UserCompanyDataStream,5,141,0.0355
ControlTower,RDS,5,30,0.1667
RDS,ControlTower,5,263,0.019
GuardDuty,EventBridge,5,36,0.1389
UserConsumerWeb,Connect,5,388,0.0129
RedShift,SageMaker,5,148,0.0338
CloudFormation,IoTCore,5,130,0.0385
Translate,Connect,5,20,0.25
UserConsumerAPI,DynamoDB,5,141,0.0355
CloudFormation,Athena,5,130,0.0385
CodePipeline,ServiceCatalog,5,41,0.122
UserConsumerWeb,SageMaker,5,388,0.0129
AmazonMQ,EC2,5,7,0.7143
Lambda,Pinpoint,5,2075,0.0024
Pinpoint,UserConsumerMobile,5,16,0.3125
SageMaker,EKS,5,251,0.0199
UserConsumerWebMobile,ECS,5,57,0.0877
UserCompanyAgent,OpenSearch,5,79,0.0633
OpenSearch,RDS,5,74,0.0676
Lambda,MediaConnect,5,2075,0.0024
Lex,MediaConnect,5,38,0.1316
Translate,Polly,5,20,0.25
CodePipeline,ApiGateway,5,41,0.122
LakeFormation,SageMaker,5,25,0.2
UserConsumerWebMobile,KinesisVideo,5,57,0.0877
UserConsumerIOT,KinesisVideo,5,21,0.2381
Athena,RedShift,5,207,0.0242
SystemsManager,Lambda,5,25,0.2
Chime,DynamoDB,5,17,0.2941
VPC,VPN,5,40,0.125
CloudHSM,EKS,5,10,0.5
BeanStalk,ThirdParty,5,31,0.1613
Lambda,EKS,5,2075,0.0024
EFS,EC2,5,23,0.2174
DirectConnect,DMS,5,33,0.1515
GuardDuty,SNS,5,36,0.1389
Pinpoint,Connect,5,16,0.3125
KinesisAnalytics,S3,5,27,0.1852
UserConsumerFarmer,Fargate,5,5,1.0
CloudFront,BeanStalk,5,291,0.0172
CloudFront,Athena,5,291,0.0172
EKS,ECS,5,495,0.0101
AppDiscovery,EC2,5,5,1.0
Aurora,AppSync,5,145,0.0345
MediaConvert,Transcribe,5,26,0.1923
ECR,ThirdParty,5,66,0.0758
ServiceCatalog,VPC,5,42,0.119
DataPipeline,Athena,5,10,0.5
EC2,OpenSearch,5,1266,0.0039
UserCompanyAnalyst,StepFunctions,5,116,0.0431
S3,ALB,5,1551,0.0032
ECS,GlobalAccelerator,5,363,0.0138
Kinesis,RDS,5,248,0.0202
CodePipeline,EventBridge,5,41,0.122
UserCompanyDataStream,KinesisDataStream,5,189,0.0265
KinesisDataStream,ThirdParty,5,37,0.1351
Neptune,CloudWatch,5,44,0.1136
VPCPeering,ThirdParty,5,16,0.3125
VPCPeering,EC2,5,16,0.3125
Lambda,IoTCore,5,2075,0.0024
Neptune,StepFunctions,5,44,0.1136
UserConsumerPOS,ECS,5,8,0.625
Fargate,EMR,5,184,0.0272
UserCompanyDataStream,VPN,5,189,0.0265
S3,UserConsumerDeveloper,5,1551,0.0032
