service_a,service_b,cooc_frequency,jaccard_similarity
EC2,Transcribe,2,0.0145
RDS,VPCPeering,2,0.0286
S3,VPCPeering,2,0.0086
CloudFront,QuickSight,2,0.037
EC2,QuickSight,2,0.0139
Firehose,WAF,2,0.0465
Comprehend,MediaConvert,2,0.125
Comprehend,Rekognition,2,0.0909
EC2,MediaConvert,2,0.0149
EKS,StepFunctions,2,0.0204
MediaConvert,Rekognition,2,0.1429
MediaConvert,Transcribe,2,0.1667
ELB,RedShift,2,0.0339
ElastiCache,Glue,2,0.0317
Glue,Route53,2,0.0392
Aurora,DirectConnect,2,0.0455
DirectConnect,PrivateLink,2,0.1538
CodeCommit,Lambda,2,0.0097
Lambda,ServiceCatalog,2,0.0096
GuardDuty,StepFunctions,2,0.04
Inspector,SecurityHub,2,0.4
SecurityHub,StepFunctions,2,0.0435
Lambda,WorkSpaces,2,0.0098
S3,WorkSpaces,2,0.0087
StepFunctions,WorkSpaces,2,0.0455
DMS,SQS,2,0.0267
DMS,Kinesis,2,0.0444
EMR,QuickSight,2,0.0513
EMR,StepFunctions,2,0.0294
DirectConnect,StorageGateway,2,0.2
EC2,StorageGateway,2,0.0152
RDS,StorageGateway,2,0.0286
EBS,ELB,2,0.0541
Aurora,NLB,2,0.0476
NLB,S3,2,0.0085
ApiGateway,DataPipeline,2,0.022
DataPipeline,DynamoDB,2,0.0175
DataPipeline,EC2,2,0.0153
DataPipeline,Lambda,2,0.0098
DynamoDB,WAF,2,0.0157
EventBridge,Pinpoint,2,0.1
ECS,MSK,2,0.0357
MSK,SageMaker,2,0.0408
CodeCommit,S3,2,0.0086
Firehose,SageMaker,2,0.0299
CloudFront,StepFunctions,2,0.0241
CloudFront,MediaLive,2,0.0488
CloudFront,MediaPackage,2,0.0476
DynamoDB,MediaPackage,2,0.0174
MediaConvert,MediaPackage,2,0.3333
MediaLive,MediaPackage,2,0.6667
MediaLive,S3,2,0.0087
IoTCore,OpenSearch,2,0.0455
QuickSight,RDS,2,0.0244
OpenSearch,Transcribe,2,0.05
Aurora,ELB,2,0.0299
Athena,ElastiCache,2,0.0282
Athena,Fargate,2,0.0317
ElastiCache,Kinesis,2,0.0303
ElastiCache,SNS,2,0.0267
Fargate,Route53,2,0.05
PrivateLink,SNS,2,0.04
S3,TransferFamily,2,0.0087
ApiGateway,KinesisAnalytics,2,0.0213
Fargate,KinesisAnalytics,2,0.0769
Athena,IoTCore,2,0.0377
IoTCore,KinesisAnalytics,2,0.125
DynamoDB,EFS,2,0.0169
OpenSearch,SQS,2,0.0204
ApiGateway,CodeBuild,2,0.0215
CodeBuild,ECR,2,0.1
CodeBuild,Lambda,2,0.0097
CodePipeline,ECR,2,0.087
CodePipeline,DynamoDB,2,0.0168
CodePipeline,EventBridge,2,0.0909
ControlTower,DynamoDB,2,0.0171
ControlTower,Lambda,2,0.0096
Lambda,Timestream,2,0.0098
AppSync,Kinesis,2,0.0455
Aurora,EventBridge,2,0.0385
EventBridge,SNS,2,0.0328
AWSConfig,EventBridge,2,0.1111
AWSConfig,GuardDuty,2,0.2222
AWSConfig,Lambda,2,0.0097
AWSConfig,SecurityHub,2,0.4
CloudTrail,GuardDuty,2,0.1429
EventBridge,GuardDuty,2,0.087
EventBridge,SecurityHub,2,0.1053
Inspector,Lambda,2,0.0097
Athena,VPC,2,0.04
CloudTrail,EMR,2,0.0625
EMR,VPC,2,0.0588
SageMaker,VPC,2,0.0426
ApiGateway,ControlTower,2,0.0213
AppSync,CloudFront,2,0.0417
CloudFront,Kinesis,2,0.0263
Comprehend,Textract,2,0.1333
ElastiCache,MSK,2,0.0488
Aurora,Cognito,2,0.0377
Cognito,Pinpoint,2,0.0952
DocumentDB,ElastiCache,2,0.0645
DocumentDB,Lambda,2,0.0098
ALB,CloudFormation,2,0.0417
CloudFormation,ECS,2,0.0323
CodeBuild,CodeCommit,2,0.3333
BeanStalk,RDS,2,0.0282
CloudHSM,DynamoDB,2,0.0175
CloudHSM,Lambda,2,0.0098
CloudHSM,SNS,2,0.0435
IoTCore,SNS,2,0.0351
AutoScaling,Lambda,2,0.0097
Cognito,Firehose,2,0.0435
Firehose,IoTCore,2,0.0488
ELB,SNS,2,0.0263
Amplify,Cognito,2,0.1
Neptune,SQS,2,0.0278
ApiGateway,MSK,2,0.0198
ELB,MSK,2,0.0476
ELB,OpenSearch,2,0.0317
ApiGateway,Chime,2,0.022
Chime,DynamoDB,2,0.0175
Chime,Lambda,2,0.0098
Chime,S3,2,0.0087
ALB,Firehose,2,0.0333
ECR,ElastiCache,2,0.0426
EventBridge,Fargate,2,0.0526
Lambda,StorageGateway,2,0.0097
FSX,RDS,2,0.0274
SQS,VPN,2,0.0282
Connect,Firehose,2,0.0571
EventBridge,KMS,2,0.0769
ApiGateway,Textract,2,0.0215
KinesisDataStream,SNS,2,0.04
AmazonMQ,RDS,2,0.0286
Cognito,SQS,2,0.0241
ApiGateway,QuickSight,2,0.0192
Aurora,KMS,2,0.0435
DMS,EC2,2,0.0144
DMS,RDS,2,0.026
EBS,IAM,2,0.125
EBS,KMS,2,0.125
IAM,SQS,2,0.0263
CloudFormation,SystemsManager,2,0.0952
FSX,Lambda,2,0.0096
ApiGateway,Organizations,2,0.022
ControlTower,S3,2,0.0085
Lambda,Organizations,2,0.0098
ApiGateway,TransitGateway,2,0.0213
DynamoDB,PrivateLink,2,0.0169
DynamoDB,TransitGateway,2,0.0171
EKS,PrivateLink,2,0.0333
Lambda,TransitGateway,2,0.0096
PrivateLink,TransitGateway,2,0.2222
ALB,Fargate,2,0.0377
ECS,EKS,2,0.02
Athena,MSK,2,0.0385
RDS,VPC,2,0.026
EBS,SNS,2,0.0392
Athena,CloudFormation,2,0.0345
Athena,LakeFormation,2,0.0465
LakeFormation,SageMaker,2,0.05
SageMaker,ServiceCatalog,2,0.0465
ApiGateway,SystemsManager,2,0.0213
DirectConnect,EKS,2,0.0317
DirectConnect,VPC,2,0.1176
RDS,TransitGateway,2,0.0278
S3,TransitGateway,2,0.0085
CloudFront,ShieldAdvanced,2,0.0476
S3,ShieldAdvanced,2,0.0086
Athena,ECS,2,0.0233
ApiGateway,Greengrass,2,0.022
Cognito,Greengrass,2,0.1111
Greengrass,IoTCore,2,0.1538
Greengrass,Lambda,2,0.0098
Comprehend,Connect,2,0.1111
